text,BIO_anno,class
怕是你安心不了了三月十号的卡到现在还没动静,B-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-PRODUCT O O O O O O O,2
5月查询一次，额度依然是那样,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2
我就是申请提前结清提了30个点，不过前天被警告了，说我把资金流入股市，以后要注意，不然会降额，怪不得客服给我打电话还敢忙别的事，让我等一下，我就感觉不对劲...,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
但是就不给提。就有点尴尬了，都几年了，额度还是很低,O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ,0
全球支付v主吗还是全球支付银联,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N,2
难道还与芝麻分有关？芝麻新用高的话就好申请？,O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O,2
去年就是被中信害死，其他行降额至少会提前通知，中信刚还进去就降每个月都给你降一点真是恶心人还完就注销了,O O O O O B-BANK I-BANK B-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-BANK I-BANK O O O O O B-COMMENTS_ADJ O O O O O O B-COMMENTS_ADJ O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N O,0
大白金能过不就是5万起步？,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O,2
费率优惠怎么撸的,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2
丢人（耻辱）的是那些拿别人的过往在自己脸上贴金，满口谎言…,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,0
银行利息还可以,O O B-COMMENTS_N I-COMMENTS_N O O O,1
负债降低了。我们还就不申请信用卡了。,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O,2
以前是隔一天刷一次或者隔一天刷一次，想一次也没事，不一直刷一个店铺就还好,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
塑料管很满是个什么意思:L,O O O O B-COMMENTS_ADJ O O O O O O O O,2
已经10行以上的就不想了，不会那么多的,O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O,2
之前吃了个菜卡然后取消了。我还需要去银行激活吗？,O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2
不清楚哦，可以打招行客服电话问问,O O O O O O O O B-BANK I-BANK O O O O O O,2
你就按征信的来，前缀就玩了，激活填一张单子，柜台激活。,O O O B-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2
②中信爱白金75k,O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O,2
广告而已，中信天天发,O O O O O B-BANK I-BANK O O O,0
借了才知道，我老婆2-20，秒批，直接调平，然后还款,O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2
湖南农商30-35-42（3.9）,B-BANK I-BANK I-BANK I-BANK O O O O O O O O O O O O O,2
肯定没有了，我选的0808，那信用卡是怎么整,O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O,2
刷卡吊打分期,B-COMMENTS_N I-COMMENTS_N O O B-PRODUCT I-PRODUCT,2
我建行房贷过了信用卡没过，，主要呢还是二卡。。都没过。,O B-BANK I-BANK B-PRODUCT I-PRODUCT O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O,2
基本被拒,O O O B-COMMENTS_ADJ,2
楼主申请卡下去卡需要多久？,O O O O B-PRODUCT O O B-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
有这时间多工作一下赚的比这个可多多了,O O O O O O O O O O O O O O O O O O,2
那如果提前还掉，会退出来吗，我打工行客服问问吧,O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O,2
就冲华子你就过了,O O O O O O O O,2
我欠6万多，今天还了8000，吃饭钱都没有了。要起诉就随意吧，心累,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0
开卡5w，感觉直接毕业了！招行？,O B-PRODUCT O O O O O O O O O O O B-BANK I-BANK O,2
香格里拉就是6.5起，额度还是可以的,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2
他会寄给你一张新卡。你也可以主动换。我办的兴业的就是 的,O O O O O O O O B-PRODUCT O O O O O O O O O O O O B-BANK I-BANK O O O O O,2
我是本来就异地申请的??本地没网点??没底气刚…还是穷,O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
什么意思，9倍积分封顶3万，好吗？,O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O,2
